status,merchantId,merchantName,merchantSlug,websiteUrl,finalWebsiteUrl,reasonCodes,candidateSource,candidateScore,candidateUrl,evidence,sha256,width,height,bytes
SAFE,cmtb77seg004gdkiyqxppl0el,“Beauty Hall”,beauty-hall,https://beautyhallrhodes.gr,https://beautyhallrhodes.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,263,http://beautyhallrhodes.gr/wp-content/uploads/2014/06/bh.jpg,img:Site logo,85bf32cbd4fef19cc62fd240c1a034bf5d5ee7469e0770410530cbed1e989c50,536,150,28175
REVIEW,cmtb7hyti000i04iyexyvbb7e,& Spa Voucherss,and-spa-vouchers,https://divaniapollonhotel.com,https://divaniapollonhotel.com/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,81,https://divaniapollonhotel.com/wp-content/uploads/2025/05/fav_120x120.png,link rel=icon,,,,
ERROR,cmta1mezp00sxq8iygc6o45un,1art,1art,https://1art.gr,,PAGE_TIMEOUT,,,,,,,,
REVIEW,cmta1h3dc0083q8iyok0hfncb,4seasons Beauty Institute,4seasons-beauty-institute,https://4seasons-beauty-institute.gr,https://www.4seasons-beauty-institute.gr/,NO_AUTO_SAFE_CANDIDATE,OG_IMAGE,-29,https://ae0f34ceb3.clvaw-cdnwnd.com/c5420bdcce5663639c4c106e34fe244c/200001109-9921f99221/700/4%20SEASONS%20%CE%A7%CE%B1%CE%BB%CE%BA%CE%AF%CE%B4%CE%B1.png?ph=ae0f34ceb3,og:image,,,,
SAFE,cmtb775q90018dkiyeyw4ozut,5pm,5pm,https://fivepm.gr,https://fivepm.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,349,https://fivepm.gr/cdn/shop/files/5pm-logo-black.png?v=1644997245&width=300,img:small--hide image-element site-header__logo-link logo--has-inverted,1908e9dda3faf5ff274e1cd997b782ab07e36dfd3b7f444d7ba417e2786a7492,300,121,3114
NONE,cmtb6udw300003giywjrb4w57,5star Travel,5star-travel,https://5star-travel.gr,https://www.5star-travel.gr/,NO_LOGO_CANDIDATE,,,,,,,,
SAFE,cmtb6uea700023giy45bjoppd,Abajourmonamour,abajourmonamour,https://abajourmonamour.gr,https://www.abajourmonamour.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,294,https://www.abajourmonamour.gr/wp-content/uploads/2024/05/MONAMOUR-4COLOR-1024x1024.png,img:header_logo header-logo Abajourmonamour,0811820eace1f6874e89e64d136e739b3a41bab906cf36d532672c497bf54eb3,1024,1024,69497
SAFE,cmtb62exh000094iy63k6h0wp,Absolutemassageandspa,absolutemassageandspa,https://absolutemassageandspa.gr,https://absolutemassageandspa.gr/,OFFICIAL_PAGE|JSONLD_LOGO|SAME_SITE_ASSET|IMAGE_VALIDATED,JSONLD_LOGO,259,https://absolutemassageandspa.gr/wp-content/uploads/2023/11/image_123986672.png,JSON-LD logo ImageObject,6bc9af92520a2dc31963b4e4951d2fbd5ec8edbc20900d41143921b77560444d,954,955,43876
REVIEW,cmt8o9l84000030iymso77cud,Access Fashion,access-fashion,https://www.accessfashion.gr,https://www.accessfashion.gr/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,139,https://www.accessfashion.gr/image/catalog/logo/access_fav_128.png,link rel=icon,,,,
SAFE,cmta5nk6i000054iyo59lds7z,Access Shop,access,https://access-shop.gr,https://access-shop.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,367,https://access-shop.gr/wp-content/uploads/2020/09/logo-1.png,img:et_b_header-logo-img logo,17564a8ce09a72434dbaf0e611c32cc90407201d43745f85d59e26d939c3eb0d,300,110,9359
SAFE,cmta1h3wa0085q8iyn1rdkd0h,Active Fashion,active-fashion,https://active-fashion.gr,https://active-fashion.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,367,https://active-fashion.gr/wp-content/uploads/2021/11/Active_Fashion_Jeans__More_LOGO.png,img:et_b_header-logo-img Active_Fashion_Jeans_&_More_LOGO,f9b20022cbb9e4821ce4d9d200d44beee6ddbaf348ac58b26150a2e5770da0cd,1648,373,30744
NONE,cmta1f03n000mq8iyzxhzrwvc,Adagio,adagio,https://adagio.gr,https://adagio.gr/,NO_LOGO_CANDIDATE,,,,,,,,
ERROR,cmta1flpz002sq8iyj9fu06aj,Adidas,adidas,https://adidas.gr,,PAGE_HTTP_403,,,,,,,,
SAFE,cmta1h4v30087q8iyy554j84c,Adore Beauty,adore-beauty,https://adore-beauty.gr,https://adore-beauty.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,379,https://adore-beauty.gr/wp-content/uploads/2025/08/Adoras_logo.svg,img:attachment-full size-full sitelogo,0de253370124bb78a8c5f47e7afccf37ff6cb53ac7d5686b039cb516b9ce4b1a,514,84,4332
REVIEW,cmtb6ueoq00043giye4hg3ri6,Adventure Junkies,90-adventure-junkies,https://adventurejunkies.gr,https://www.adventurejunkies.gr/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-41,https://adventurejunkies.storage.googleapis.com/wp-content/uploads/2022/02/24234105/fav.png,link rel=apple-touch-icon,,,,
ERROR,cmt79icwc000084iyqmpbd9de,AEGEAN,aegean,https://el.aegeanair.com,,PAGE_HTTP_403,,,,,,,,
REVIEW,cmta4y7eb0002sciylsx5by7d,Aegeanmassage,aegeanmassage,https://aegeanmassage.gr,https://aegeanmassage.gr/,NO_AUTO_SAFE_CANDIDATE,HEADER_IMAGE,334,https://aegeanmassage.gr/wp-content/uploads/elementor/thumbs/logo-agean-copy-r1hoabe7m8z6z0g0ofhnfuureji3n2dtho531coem8.png,img:webpexpress-processed logo-agean copy,,,,
REVIEW,cmta1kekt00kxq8iyxv2r81h0,Aetherjewelry,aetherjewelry,https://aetherjewelry.gr,https://aetherjewelry.gr/,NO_AUTO_SAFE_CANDIDATE,JSONLD_LOGO,134,https://i0.wp.com/aetherjewelry.gr/wp-content/uploads/2023/01/cropped-cropped-small-triangle.png?fit=512%2C512&ssl=1,JSON-LD logo ImageObject,,,,
SAFE,cmta1k3e400jnq8iyfrp6th99,Afroditesbeaute,afroditesbeaute,https://afroditesbeaute.gr,https://afroditesbeaute.gr/,OFFICIAL_PAGE|JSONLD_LOGO|SAME_SITE_ASSET|IMAGE_VALIDATED,JSONLD_LOGO,259,https://afroditesbeaute.gr/wp-content/uploads/2023/12/afrodites_beaute_transparent.png,JSON-LD logo ImageObject,5fff4ab24df5df3749c0a68ee0c6ae6ee53ea2975ebbf2b5dab38bf9d5399635,1600,1017,78071
REVIEW,cmta1gfy3005rq8iyb6n5rmq0,Agathou,agathou,https://agathou.gr,https://www.agathou.gr/,NO_AUTO_SAFE_CANDIDATE,JSONLD_LOGO,189,https://i0.wp.com/shop.agathouspa.gr/wp-content/uploads/2020/10/logos-2-e1464295855512.png?fit=400%2C338&ssl=1,JSON-LD logo ImageObject,,,,
SAFE,cmta1h8bf0089q8iycn3j15z3,Aggouris,aggouris,https://aggouris.gr,https://aggouris.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,334,https://aggouris.gr/wp-content/uploads/2021/07/logo-edit-horizontal.png,img:wd-logo wd-main-logo Site logo Ιεροραφείο Αγγούρη,c686f47289f98d06b876f94a723e026ae62c4beb2a82b226a3aa6a492c2c97d9,935,226,93523
SAFE,cmta4y7vg0004sciy2y9wokq6,Agigma,agigma,https://agigma.gr,https://agigma.gr/,OFFICIAL_PAGE|JSONLD_LOGO|SAME_SITE_ASSET|IMAGE_VALIDATED,JSONLD_LOGO,314,https://agigma.gr/wp-content/uploads/2023/04/LETTER-A-FROM-LOGO.png,JSON-LD logo ImageObject,4c301f83658f46c48c875dd7716ab6cdf955e6f19bd2313c558072d7a6d29dea,500,500,3582
REVIEW,cmt8l5oqd00005giycgy0pz6b,Airbnb,airbnb,https://www.airbnb.com,https://www.airbnb.com/,NO_AUTO_SAFE_CANDIDATE,SITE_ICON,-26,https://a0.muscache.com/airbnb/static/icons/apple-touch-icon-120x120-52b1adb4fe3a8f825fc4b143de12ea4b.png,link rel=apple-touch-icon,,,,
SAFE,cmta4y8c30006sciylalyrg2a,Alchemy,alchemy,https://alchemy.gr,https://alchemy.gr/,OFFICIAL_PAGE|HEADER_IMAGE|SAME_SITE_ASSET|IMAGE_VALIDATED,HEADER_IMAGE,349,https://alchemy.gr/cdn/shop/files/logo_BLACK_transpBG.png?v=1747734077&width=200,img:header__logo-image new full-unstyled-link Alchemy,c2d98afa1ed3071db0247cee7bd6742fc42cb5e92144ba0817143aca7f012e23,200,200,2933
